armenian,translations
ԿԱՆԳՆԵՑՆԵԼ,"останавливать, остановить, приостанавливать, приостановить;воздвигать, воздвигнуть;ставить, поставить"
ԿԱՆԳՆԵՑՈՒՄ,"приостановка, остановка"
ԿԱՆԳՆԵՑՎԵԼ,"останавливаться, приостанавливаться;воздвигаться"
ԿԱՆԳՈՒՆ,локоть;старинная мера длины
ԿԱՆԴ,орёл;самец
ԿԱՆԵՓ,конопля
ԿԱՆԵՓԱԲՈՒԾԱԿԱՆ,коноплеводческий
ԿԱՆԵՓԱԲՈՒԾՈՒԹՅՈՒՆ,коноплеводство
ԿԱՆԵՓԱԲՈՒՅԾ,коноплевод
ԿԱՆԵՓԱԳԶԻՉ,пенькочесальный
ԿԱՆԵՓԱԳՈՐԾԱԿԱՆ,коноплеобрабатывающий
ԿԱՆԵՓԱԳՈՐԾԱՐԱՆ,коноплезавод
ԿԱՆԵՓԱԳՈՐԾՈՒԹՅՈՒՆ,коноплеводство
ԿԱՆԵՓԱԹԵԼ,пенька
ԿԱՆԵՓԱԿԱԼՍԻՉ,коноплемолотилка;коноплемолотильный
ԿԱՆԵՓԱԿՏԱՎ,"посконь, посконина"
ԿԱՆԵՓԱՀԱՎ,коноплянка
ԿԱՆԵՓԱՀԱՏ,"конопляное семя, зерно"
ԿԱՆԵՓԱՁԵԹ,конопляное масло
ԿԱՆԵՓԱՄԱՆ,пенькопрядильный
ԿԱՆԵՓԱՄԱՆԱԿԱՆ,пенькопрядильный
ԿԱՆԵՓԱՄԱՆԱՐԱՆ,пенькопрядильная фабрика
ԿԱՆԵՓԱՄԱՆՈՒԹՅՈՒՆ,пенькопрядение
ԿԱՆԵՓԱՄԱՆՈՒՄ,пенькопрядение
ԿԱՆԵՓԱՅԻՆ,конопляный
ԿԱՆԵՓԱՍԵՐՄ,конопляное семя
ԿԱՆԵՓԱՔՐՔՐԻՉ,пенькотрепальный
ԿԱՆԵՓԵ,"конопляный, пеньковый"
ԿԱՆԵՓՈՒՏ,конопляник
ԿԱՆԹ,"ручка, дужка"
ԿԱՆԹԵԼ,"приделывать, приделать ручку, дужку"
ԿԱՆԹԵՂ,"светильник, лампа, лампада;люстра;свет, просвещение"
ԿԱՆԹԵՂԱԽՈՏ,чистотел
ԿԱՆԹԵՂԽՈՏ,чистотел
ԿԱՆԹՈՒՄ,"приделывание ручки, дужки"
ԿԱՆԽԱԲԱՐ,заранее
ԿԱՆԽԱԳԾԵԼ,предначертать
ԿԱՆԽԱԳԾՈՒՄ,предначертание
ԿԱՆԽԱԳՈՒՅՆ,первоначальный
ԿԱՆԽԱԳՈՒՇԱԿ,"предвестник, предсказатель, провозвестник, предвозвестник"
ԿԱՆԽԱԳՈՒՇԱԿԱՆ,"предвещательный, предсказательный, вещий"
ԿԱՆԽԱԳՈՒՇԱԿԵԼ,"предсказывать, предсказать, предвещать, предрекать, предречь"
ԿԱՆԽԱԳՈՒՇԱԿՈՒԹՅՈՒՆ,"предсказание, пророчество, прорицание;книжн;предвещание;устар., книжн"
ԿԱՆԽԱԳՈՒՇԱԿՈՒՄ,"предсказание, пророчество, прорицание;книжн;предвещание;устар., книжн"
ԿԱՆԽԱԳՈՒՇԱԿՎԵԼ,"предсказываться, предвещаться, предрекаться"
ԿԱՆԽԱԴՐՈՒՅԹ,"постулат;книжн;исходное положение, принимаемое без доказательств"
ԿԱՆԽԱԿԱԼ,"предвзятый, предубеждённый"
ԿԱՆԽԱԿԱԼՈՐԵՆ,"предвзято, предубеждённо"
ԿԱՆԽԱԿԱՆ,предварительный
ԿԱՆԽԱԿԱՐԾԻՔ,"предубеждение, предвзятое мнение"
ԿԱՆԽԱԿԱՐԾՈՒԹՅՈՒՆ,"предвзятость, предубеждение"
ԿԱՆԽԱԿՌԱՀԵԼ,"предугадывать, предугадать"
ԿԱՆԽԱԿՌԱՀՈՒՄ,предугадывание
ԿԱՆԽԱՀՈԺԱՐ,заранее согласный
ԿԱՆԽԱՃԱՇԱԿԵԼ,предвкушать
ԿԱՆԽԱՃԱՇԱԿՈՒՄ,предвкушение
ԿԱՆԽԱՄՏԱԾՈՒԹՅՈՒՆ,"преднамеренность, умышленность"
ԿԱՆԽԱՄՏԱԾՎԱԾ,"преднамеренный, умышленный, намеренный"
ԿԱՆԽԱՄՏԱԾՎԱԾՈՒԹՅՈՒՆ,"преднамеренность, умышленность"
ԿԱՆԽԱՆԿԱՏ,предусмотрительный
ԿԱՆԽԱՆՇԱՆ,"признак, примета, знак, симптом;симптом"
ԿԱՆԽԱՍԵԼ,"предвещать, предсказывать, предсказать"
ԿԱՆԽԱՎ,заранее
ԿԱՆԽԱՎԱՃԱՌԵԼ,"запродавать, запродать"
ԿԱՆԽԱՎԱՃԱՌՎԵԼ,"запродаваться, запродаться"
ԿԱՆԽԱՎԱՃԱՌՔ,запродажа
ԿԱՆԽԱՎԱՐՁԵԼ,абонировать
ԿԱՆԽԱՎԱՐՁՎԵԼ,абонироваться
ԿԱՆԽԱՎՃԱՐ,аванс;задаток
ԿԱՆԽԱՎՃԱՐԱՅԻՆ,авансовый;задаточный
ԿԱՆԽԱՎՃԱՐԵԼ,авансировать
ԿԱՆԽԱՎՃԱՐՈՒՄ,авансирование
ԿԱՆԽԱՎՃԱՐՎԵԼ,авансироваться
ԿԱՆԽԱՎՃՌԵԼ,предварительно решить
ԿԱՆԽԱՎՃՌՎԵԼ,предварительно решиться
ԿԱՆԽԱՏԵՍ,"предусмотрительный, прозорливый"
ԿԱՆԽԱՏԵՍԵԼ,"предвидеть;предусматривать, предусмотреть;предугадывать, предугадать"
ԿԱՆԽԱՏԵՍՈՐԵՆ,предусмотрительно
ԿԱՆԽԱՏԵՍՈՒԹՅՈՒՆ,предусмотрительность;предвидение;прозорливость
ԿԱՆԽԱՏԵՍՎԵԼ,предвидеться;предусматриваться
ԿԱՆԽԱՐԳԵԼԵԼ,"предупреждать, предупредить;что-либо"
ԿԱՆԽԱՐԳԵԼԻՉ,профилактический предупредительный
ԿԱՆԽԱՐԳԵԼՈՒԹՅՈՒՆ,предупреждение;болезни
ԿԱՆԽԱՐԳԵԼՈՒՄ,предупреждение;болезни
ԿԱՆԽԵԼ,"предупреждать, предупредить, предотвращать, предотвратить;предвосхищать, предвосхитить"
ԿԱՆԽԻԿ,наличный
ԿԱՆԽԻՉ,"предупредительный, предохранительный"
ԿԱՆԽՈՂԱԿԱՆ,"предупредительный, предохранительный"
ԿԱՆԽՈՐԱՇՎԱԾՈՒԹՅՈՒՆ,предопределённость;предрешённость
ԿԱՆԽՈՐՈՇԵԼ,"предопределять, предопределить;предрешать, предрешить"
ԿԱՆԽՈՐՈՇՈՒՄ,предопределение
ԿԱՆԽՈՐՈՇՎԵԼ,"предопределяться, предопределиться;предрешаться"
ԿԱՆԽՈՒՄ,"предупреждение, предотвращение;предвосхищение"
ԿԱՆԽՎԵԼ,"предупреждаться, предотвращаться;предвосхищаться"
ԿԱՆՈՆ,"правило, канон"
ԿԱՆՈՆԱԳԵՏ,законовед
ԿԱՆՈՆԱԳԻՐՔ,"свод правил;свод церковных правил, канонов"
ԿԱՆՈՆԱԳՐԵԼ,"устанавливать, установить правила"
ԿԱՆՈՆԱԴԻՐ,устанавливающий правила
ԿԱՆՈՆԱԴՐԱԿԱՆ,уставный
ԿԱՆՈՆԱԴՐՈՒԹՅՈՒՆ,"положение, устав, статут"
ԿԱՆՈՆԱԶԱՆՑ,нарушающий правило
ԿԱՆՈՆԱԶԱՆՑՈՒԹՅՈՒՆ,нарушение правил
ԿԱՆՈՆԱԶԱՆՑՈՒՄ,нарушение правил
ԿԱՆՈՆԱԿԱՆ,"канонический, каноничный"
ԿԱՆՈՆԱԿԱՆՈՒԹՅՈՒՆ,каноничность
ԿԱՆՈՆԱԿԱՐԳ,регламент
ԿԱՆՈՆԱԿԱՐԳԵԼ,регламентировать
ԿԱՆՈՆԱԿԱՐԳՈՒՄ,"регламентация, регламентирование"
ԿԱՆՈՆԱՎՈՐ,"регулярный, систематический, систематичный, правильный;правильный, симметричный;правильный, ритмичный, равномерный;настоящий, истинный, подлинный;порядочный, хороший;правильно, регулярно, хорошо, ритмично"
ԿԱՆՈՆԱՎՈՐԱՊԵՍ,регулярно
ԿԱՆՈՆԱՎՈՐԵԼ,"регулировать, урегулировать, упорядочивать, упорядочить"
ԿԱՆՈՆԱՎՈՐՈՒԹՅՈՒՆ,правильность;регулярность
ԿԱՆՈՆԱՎՈՐՈՒՄ,"упорядочение, регулирование, урегулирование"
ԿԱՆՈՆԱՎՈՐՎԵԼ,"регулироваться, урегулироваться, упорядочиваться, упорядочиться"
ԿԱՆՈՒԽ,рано;рано утром
ԿԱՆՉ,"зов, клич;оклик, окрик;крик, возглас"
ԿԱՆՉԵԼ,"называть, назвать, звать;петь, пропеть"
ԿԱՆՏԱԿԱՆՈՒԹՅՈՒՆ,кантианство
ԿԱՆՏԱՏ,"кантата;кантата, ода"
ԿԱՆՏՎԵԼ,"вызываться, вызваться;окликаться, приглашаться"
ԿԱՇԱՌԱԿԵՐ,взяточник;взяточнический
ԿԱՇԱՌԱԿԵՐՈՒԹՅՈՒՆ,взяточничество
ԿԱՇԱՌԱՌՈՒ,"взяточник, взяткополучатель, мздоимец;устар;мздолюбец;лихоимец"
ԿԱՇԱՌԱՏՈՒ,"взяткодатель, мздодатель"
ԿԱՇԱՌԱՏՎՈՒԹՅՈՒՆ,"взяткодательство, дача взятки"
ԿԱՇԱՌԵԼ,"подкупать, подкупить"
ԿԱՇԱՌԵԼԻ,продажный
ԿԱՇԱՌՈՒՄ,подкуп
ԿԱՇԱՌՎԵԼ,подкупаться
ԿԱՇԱՌՔ,взятка
ԿԱՇԵԲԱՃԿՈՆ,"кожанка, кожанка"
ԿԱՇԵԳՈՏԻ,"ремень, кожаный пояс"
ԿԱՇԵԳՈՐԾ,"кожевник, кожевенник"
ԿԱՇԵԳՈՐԾԱԿԱՆ,кожевенный
ԿԱՇԵԳՈՐԾԱՐԱՆ,кожевенный завод
ԿԱՇԵԳՈՐԾՈՒԹՅՈՒՆ,кожевенное производство;кожевничество
ԿԱՇԵԿԱԶՄ,в кожаном переплёте
ԿԱՇԵԿԵՐ,кожеед
ԿԱՇԵՀԱՆ,с содранной шкурой;живодёр
ԿԱՇԵՀՈՒՄՔ,"кожсырьё, кожевенное сырьё"
ԿԱՇԵՆՄԱՆ,"кожистый, похожий на кожу"
ԿԱՇԵՊԱՏ,"кожаный, обитый, обтянутый кожей"
ԿԱՇԵՊԱՏՅԱՆ,кожух
ԿԱՇԵՍԱՐՔ,ремённая упряжь
ԿԱՇԵՎԱՃԱՌ,"продавец кож, торговец кожами, кожевник;устар"
ԿԱՇԵՏԵՐԵՎ,обладающий кожистыми листьями
ԿԱՇԵՓՈԿ,кожаный приводной ремень
ԿԱՇԵՓՈՒՔՍ,мех
ԿԱՇԻ,кожа;шкура
ԿԱՇԿԱՆԴԵԼ,"сковывать, сковать, связывать, связать;препятствовать, мешать;обуздывать, обуздать"
ԿԱՇԿԱՆԴԻՉ,"сковывающий, мешающий"
ԿԱՇԿԱՆԴՈՒՄ,чувство скованности
ԿԱՇԿԱՆԴՎԱԾՈՒԹՅՈՒՆ,скованность
ԿԱՇԿԱՆԴՎԵԼ,"быть, чувствовать себя скованным"
ԿԱՇՎԵ,кожаный
ԿԱՇՎԵՂԵՆ,кожаные изделия
ԿԱՈՒՉՈՒԿ,каучук
ԿԱՈՒՉՈՒԿԱԲԵՐ,каучуконосный
ԿԱՈՒՉՈՒԿԱԲՈՒԾՈՒԹՅՈՒՆ,каучуководство
ԿԱՈՒՉՈՒԿԱԲՈՒՅԾ,каучуковод
ԿԱՈՒՉՈՒԿԱՅԻՆ,"каучуковый, относящийся к каучуку"
ԿԱՈՒՉՈՒԿԵ,"каучуковый, изготовленный из каучука"
ԿԱՈՒՉՈՒԿԵՆԻ,каучуковое дерево
ԿԱՈՒՍՏԻԿ,каустический
ԿԱՉԱՂԱԿ,сорока
ԿԱՊ,"связь;узы;связка;узел;привязь;связи, отношения;головная повязка;замок"
ԿԱՊԱ,армянская национальная одежда;подрясник
ԿԱՊԱԼ,"подряд;откуп, аренда"
ԿԱՊԱԼԱՅԻՆ,"подрядный;откупной, арендный"
ԿԱՊԱԼԱՌՈՒ,откупщик;подрядчик
ԿԱՊԱԼԱՎԱՐՁ,арендная плата
ԿԱՊԱԿՈՏՈՐ,"разнузданный, необузданный"
ԿԱՊԱԿՑԱԿԱՆ,связующий
ԿԱՊԱԿՑԵԼ,"связывать, связать"
ԿԱՊԱԿՑՈՂ,связующий
ԿԱՊԱԿՑՈՒԹՅՈՒՆ,"связность;связь, отношение"
ԿԱՊԱԿՑՈՒՄ,связывание
ԿԱՊԱԿՑՎԱԾ,связный
ԿԱՊԱԿՑՎԱԾՈՒԹՅՈՒՆ,связность
ԿԱՊԱԿՑՎԵԼ,связываться
ԿԱՊԱՆ,повязка;свивальник
ԿԱՊԱՆՔ,"цепи, кандалы, путы, оковы;оковы, путы, узы"
ԿԱՊԱՆՔԱԶԵՐԾ,"раскованный, освобождённый от пут"
ԿԱՊԱՆՔԱԶԵՐԾԵԼ,"расковывать, расковать, освободить от пут"
ԿԱՊԱՆՔԱԶԵՐԾՈՒՄ,"расковывание, расковка;разг. и спец;освобождение от пут"
ԿԱՊԱՆՔԱԶԵՐԾՎԵԼ,"расковываться, расковаться, освободиться от пут"
ԿԱՊԱՎՈՐ,связист;связной;связник;посыльный
ԿԱՊԱՐ,"каперс, каперсы, каперсник;каперсы"
ԿԱՊԱՐԱԳՆԴԱԿ,свинцовая пуля
ԿԱՊԱՐԱԳՆԴԻԿ,"дробина, дробинка"
ԿԱՊԱՐԱԳՈՒՅՆ,"свинцовый, свинцового цвета"
ԿԱՊԱՐԱԳՈՒՆԵԼ,"приобретать, приобрести свинцовый цвет"
ԿԱՊԱՐԱԴՐՈՇՄ,свинцовая пломба
ԿԱՊԱՐԱԴՐՈՇՄԵԼ,пломбировать
ԿԱՊԱՐԱԴՐՈՇՄԻՉ,"пломбир, приспособление для накладывания пломб"
ԿԱՊԱՐԱԴՐՈՇՄՈՒՄ,"пломбировка, пломбирование"
ԿԱՊԱՐԱԴՐՈՇՄՎԵԼ,пломбироваться
ԿԱՊԱՐԱԶՕԾ,освинцованный
ԿԱՊԱՐԱԶՕԾԵԼ,свинцевать
ԿԱՊԱՐԱԶՕԾՈՒՄ,свинцевание
ԿԱՊԱՐԱԶՕԾՎԵԼ,свинцеваться
ԿԱՊԱՐԱԹՈՒՆԱՎՈՐՈՒՄ,свинцовое отравление
ԿԱՊԱՐԱԹՐՋՈՑ,свинцовая примочка
ԿԱՊԱՐԱԼԱՐ,отвес
ԿԱՊԱՐԱԿԻՐ,содержащий свинец
ԿԱՊԱՐԱՀԱՆՔ,"свинчак, свинцовый блеск, свинцовая руда"
ԿԱՊԱՐԱՁՈՒԼԱՐԱՆ,свинцовый завод
ԿԱՊԱՐԱՁՈՒՅԼ,"свинцовый, отлитый из свинца"
ԿԱՊԱՐԱՅԻՆ,свинцовый
ԿԱՊԱՐԱՊԱՏ,свинцованный
ԿԱՊԱՐԱՊԱՏԵԼ,свинцевать
ԿԱՊԱՐԱՊԱՏՈՒՄ,свинцевание
ԿԱՊԱՐԱՊԱՏՎԵԼ,свинцеваться
ԿԱՊԱՐԱՐՋԱՍՊ,свинцовый колчедан
ԿԱՊԱՐԵ,"свинцовый, тяжкий, мучительный"
ԿԱՊԱՐՃ,колчан
ԿԱՊԱՐՃԱԿԻՐ,"слуга, несущий колчан, оруженосец"
ԿԱՊԱՐՃԱՎՈՐ,"слуга, несущий колчан, оруженосец"
ԿԱՊԱՐՅԱ,свинцовый
ԿԱՊԵԼ,"завязывать, завязать;связывать, связать;привязывать, привязать;перевязывать, перевязать;повязывать, повязать;увязывать, увязать;опоясывать, опоясать;закрывать, закрыть;связать, поженить"
ԿԱՊԵՐՏ,палас
ԿԱՊԻԿ,обезьяна
ԿԱՊԻԿՈՒԹՅՈՒՆ,обезьянничание;разг;обезьянничество;обезьянство
ԿԱՊԻՉ,повязка;подвязка
ԿԱՊԻՏԱԼ,капитал;капитальный
ԿԱՊԻՏԱԼԻԶՄ,капитализм
ԿԱՊԻՏԱԼԻՍՏ,капиталист
ԿԱՊԻՏԱԼԻՍՏԱԿԱՆ,капиталистический
ԿԱՊԻՏԱՆ,капитан
ԿԱՊԻՏՈՒԼՅԱՑԻԱ,капитуляция
ԿԱՊԿԱԲՈՒԾԱՐԱՆ,обезьяний питомник
ԿԱՊԿԱԴԵՄ,"обезьяноподобный, безобразный, уродливый"
ԿԱՊԿԱՄԱՐԴ,"обезьяночеловек, питекантроп"
ԿԱՊԿԱՅԻՆ,обезьяний
ԿԱՊԿԱՆԱԼ,"обезьянничать, обезьянить;разг;обезьянствовать"
ԿԱՊԿԱՆՄԱՆ,обезьяноподобный
ԿԱՊԿԱՊՈՒՄ,"перевязывание, обвязывание"
ԿԱՊԿԵԼ,"обезьянничать;разг;слепо подражать, копировать"
ԿԱՊԿՈՐԵՆ,"по-обезьяньи, слепо"
ԿԱՊԿՈՒԹՅՈՒՆ,обезьянство;разг;обезьянничание;обезьянничество
ԿԱՊԿՊԵԼ,связать  в нескольких местах;увязать в узлы вещи
ԿԱՊԿՊՈՏԵԼ,связать  в нескольких местах;увязать в узлы вещи
ԿԱՊԿՊՈՏՎԵԼ,"завязываться, завязаться, связываться, связаться, перевязывать-перевязаться"
ԿԱՊԿՊՈՒՄ,"завязывание, связывание, перевязывание"
ԿԱՊԿՊՎԵԼ,"завязываться, завязаться, связываться, связаться, перевязывать-перевязаться"
ԿԱՊՅԱԼ,связанный;арестованный
ԿԱՊՈՏՈՒՄ,"завязывание, связывание, увязывание"
ԿԱՊՈՑ,"связка;узел;пучок, пук"
ԿԱՊՈՒՄ,"вязанье, связывание;привязывание;перевязывание"
ԿԱՊՈՒՅՏ,"синий;несбыточный, иллюзорный, фантастический"
ԿԱՊՈՒՏԱԿ,"синий, лазурный"
ԿԱՊՈՒՏԱՉ,"синеглазый, синеокий, голубоглазый"
ԿԱՊՈՒՏԱՉՅԱ,"синеглазый, синеокий, голубоглазый"
ԿԱՊՎԱԾՈՒԹՅՈՒՆ,"связанность, скованность;привязанность"
ԿԱՊՎԵԼ,"завязываться, завязаться, связываться, связаться;привязываться, привязаться;перевязываться, перевязаться;увязываться, увязаться"
ԿԱՊՏԱԲԻԾ,синяк
ԿԱՊՏԱԳԼՈՒԽ,синеголовый
ԿԱՊՏԱԳՈՐՇ,синевато-серый
ԿԱՊՏԱԳՈՒՅՆ,синий
ԿԱՊՏԱԳՈՒՆԵԼ,"синеть, засинеть"
ԿԱՊՏԱԳՈՒՆՈՒԹՅՈՒՆ,синева
ԿԱՊՏԱԹԹՈՒ,"синильная кислота, цианистый водород"
ԿԱՊՏԱԼԱՆՋ,варакушка
ԿԱՊՏԱԼԱՆՋԻԿ,варакушка
ԿԱՊՏԱԽՏ,"цианоз, синюха"
ԿԱՊՏԱԿԱՆԱՉ,"сине-зелёный, цвета морской волны"
ԿԱՊՏԱԿԱՆԱՉԱՎՈՒՆ,зеленовато-синий
ԿԱՊՏԱԿԱՐՄԻՐ,"багровый, красно-синий"
ԿԱՊՏԱՃԵՐՄԱԿ,синевато-белый
ԿԱՊՏԱՄՈԽՐԱԳՈՒՅՆ,"синевато-серый, сизый"
ԿԱՊՏԱՆԱԼ,"синеть, посинеть"
ԿԱՊՏԱՆԵՐԿ,синяя краска
ԿԱՊՏԱՆԵՐԿԵԼ,синить
ԿԱՊՏԱՆԵՐԿՈՒՄ,синение
ԿԱՊՏԱՆԵՐԿՎԵԼ,синиться
ԿԱՊՏԱՇՈՒՐԹ,синегубый
ԿԱՊՏԱՉԻԿ,"синеглазый, синеокий, голубоглазый"
ԿԱՊՏԱՉՅԱ,"синеглазый, синеокий, голубоглазый"
ԿԱՊՏԱՎՃԻՏ,"прозрачно-синий, лазурный"
ԿԱՊՏԱՎՈՒՆ,"синеватый, голубоватый"
ԿԱՊՏԱՎՈՒՆՈՒԹՅՈՒՆ,"синеватость, голубоватость"
ԿԱՊՏԱՑՆԵԼ,"синить;раскрашивать, раскрасить синим;набить, насадить синяков"
ԿԱՊՏԱՑՈՒՄ,синение
ԿԱՊՏԱՑՎԵԼ,синиться
ԿԱՊՏԱՓԱՅԼ,с синим блеском
ԿԱՊՏԱՓԵՏՈՒՐ,сизокрылый
ԿԱՊՏԵԼ,"грабить, ограбить, захватывать, захватить"
ԿԱՊՏՈՒԹՅՈՒՆ,"синева, синь;синий цвет"
ԿԱՊՏՈՒԿ,синяк
ԿԱՊՏՈՒՑ,синяк
ԿԱՊՐՈՆ,капрон
ԿԱՊՐՈՆԱԹԵԼ,капроновая нить
ԿԱՊՐՈՆԱՅԻՆ,капроновый
ԿԱՊՐՈՆԵ,капроновый
ԿԱՌԱԳՆԱՑ,седок
ԿԱՌԱԳՈՐԾ,"каретник;устар;мастер, делающий экипажи, кареты"
ԿԱՌԱՄԱՏՈՒՅՑ,"перрон, платформа"
ԿԱՌԱՄԱՏՈՒՅՑԱՅԻՆ,перронный
ԿԱՌԱՆ,причальный канат
ԿԱՌԱՆԱԹՈԿ,причальный канат
ԿԱՌԱՆԱՏԵՂ,причал
ԿԱՌԱՆԵԼ,"причаливать, причалить, швартовать, пришвартовывать, пришвартовать"
ԿԱՌԱՆՎԵԼ,"причаливать, швартоваться, пришвартовываться, пришвартоваться"
ԿԱՌԱՆՑ,проезд
ԿԱՌԱՆՑՔ,проезд
ԿԱՌԱՊԱՆ,извозчик;кучер;ямщик
ԿԱՌԱՊԱՆՈՒԹՅՈՒՆ,"извоз, извозчичье ремесло"
ԿԱՌԱՍՐԱՀ,"каретный сарай, каретник"
ԿԱՌԱՎԱՐԱԿԱՆ,правительственный
ԿԱՌԱՎԱՐԵԼ,"править, управлять;управлять государством"
ԿԱՌԱՎԱՐԻՉ,управляющий;правитель
ԿԱՌԱՎԱՐՈՒԹՅՈՒՆ,правительство;советское правительство
ԿԱՌԱՎԱՐՈՒՄ,"правление, управление;форма правления"
ԿԱՌԱՎԱՐՉԱԿԱՆ,управленческий
ԿԱՌԱՎԱՐՉԱՊԵՏ,наместник
ԿԱՌԱՎԱՐՉՈՒԹՅՈՒՆ,правление
ԿԱՌԱՎԱՐՎԵԼ,"правиться, управляться;обходиться, обойтись"
ԿԱՌԱՓ,"череп, голова"
ԿԱՌԱՓՆԱԿՈՃՂ,плаха
ԿԱՌԱՓՆԱՏԵՂ,"эшафот, лобное место"
ԿԱՌԱՓՆԱՐԱՆ,"эшафот, лобное место"
ԿԱՌՈՒՅՑ,"сооружение, стройка, постройка;строение, структура, построение"
ԿԱՌՈՒՑԱՊԱՏԵԼ,"застраивать, застроить"
ԿԱՌՈՒՑԱՊԱՏՈՒՄ,"застраивание, застройка"
ԿԱՌՈՒՑԱՊԱՏՎԵԼ,"застраиваться, застроиться"
ԿԱՌՈՒՑԵԼ,"строить, построить, вычерчивать, вычертить;геометрическую фигуру"
ԿԱՌՈՒՑՈՂ,строитель
ԿԱՌՈՒՑՈՂԱԿԱՆ,строительный
ԿԱՌՈՒՑՈՒՄ,"сооружение, возведение, построение, строительство, постройка;строительство коммунизма"
ԿԱՌՈՒՑՎԱԾՔ,"сооружение, стройка, постройка"
ԿԱՌՈՒՑՎԱԾՔԱՅԻՆ,структурный;конструктивный
ԿԱՌՈՒՑՎԵԼ,"строиться, построиться"
ԿԱՌՉԵԼ,"цепляться, зацепляться, зацепиться, ухватываться, ухватиться"
ԿԱՌՉՈՒՆ,цепкий
ԿԱՌՔ,"экипаж, карета, коляска, фаэтон;железнодорожный вагон"
ԿԱՍ-ԿԱՆԱՉ,"густо-зелёный, насыщенный зелёный"
ԿԱՍ-ԿԱՊՈՒՅՏ,"густо-синий, насыщенный синий"
ԿԱՍ-ԿԱՐՄԻՐ,"густо-красный, багровый"
ԿԱՍԵՑՆԵԼ,"приостанавливать, приостановить, задерживать, задержать"
ԿԱՍԵՑՈՒՄ,"приостановка, приостановление, задержка, задержание"
ԿԱՍԵՑՎԵԼ,"приостанавливаться, приостановиться, задерживаться, задержаться"
ԿԱՍԿԱԴ,каскад
ԿԱՍԿԱԾ,сомнение;подозрение;опасение
ԿԱՍԿԱԾԱԼԻ,полный сомнения
ԿԱՍԿԱԾԱՄԻՏ,"мнительный, недоверчивый, подозрительный"
ԿԱՍԿԱԾԱՄՏՈՐԵՆ,"мнительно, недоверчиво"
ԿԱՍԿԱԾԱՄՏՈՒԹՅՈՒՆ,"мнительность, недоверчивость"
ԿԱՍԿԱԾԱՆՔ,сомнение;подозрение;опасение
ԿԱՍԿԱԾԱՎՈՐ,"подозрительный, сомнительный;мнительный, недоверчивый"
ԿԱՍԿԱԾԱՎՈՐՈՒԹՅՈՒՆ,"подозрительность, сомнительность;мнительность, недоверчивость"
ԿԱՍԿԱԾԵԼ,"сомневаться;подозревать, заподозрить"
ԿԱՍԿԱԾԵԼԻ,"сомнительный, подозрительный"
ԿԱՍԿԱԾԵԼԻՈՒԹՅՈՒՆ,"сомнительность, подозрительность"
ԿԱՍԿԱԾՈՏ,"мнительный, недоверчивый;подозрительный, сомнительный"
ԿԱՍԿԱԾՈՏՈՒԹՅՈՒՆ,"мнительность, недоверчивость"
ԿԱՍԿԱԾՎԵԼ,подозреваться
ԿԱՍԿԱՐԱ,"таган, треножник"
ԿԱՍՊԻԱԿԱՆ,каспийский
ԿԱՍՏԱ,каста
ԿԱՍՏԱՅԱԿԱՆ,кастовый
ԿԱՎ,глина
ԿԱՎԱԲԵՐ,"глинистый, содержащий глину, изобилующий глиной;глинистая почва, глинистый грунт"
ԿԱՎԱԳԵՏԻՆ,глинобитный пол
ԿԱՎԱԳՈՐԾ,гончар
ԿԱՎԱԳՈՐԾԱԿԱՆ,гончарный
ԿԱՎԱԳՈՐԾՈՒԹՅՈՒՆ,гончарное ремесло
ԿԱՎԱԹՐԾՈՒՄ,обжигание глины
ԿԱՎԱԽԱՌՆ,глинистый
ԿԱՎԱԽԱՌՆԻՉ,глиномешалка
ԿԱՎԱՀԱՆՔ,глиняный карьер
ԿԱՎԱՀՈՂ,глинозём;глинистая почва
ԿԱՎԱՀՈՂԱՅԻՆ,глинозёмный
ԿԱՎԱՀՈՒՆՑԻՉ,глиномялка
ԿԱՎԱՄԱՆ,"глиняный сосуд, глиняная посудина"
ԿԱՎԱՅԻՆ,глиняный;глинистый
ԿԱՎԱՅՆՈՒԹՅՈՒՆ,глинистость
ԿԱՎԱՆՄԱՆ,"похожий на глину, подобный глине"
ԿԱՎԱՇԵՆ,глинобитный
ԿԱՎԱՇԵՐՏ,пласт глины
ԿԱՎԱՊԱՏ,"покрытый глиной, обмазанный глиной"
ԿԱՎԱՊՈՒՏՈՒԿ,"глиняный горшок, кринка, крынка"
ԿԱՎԱՎԱԶ,суглинок
ԿԱՎԱՎԱԶԱՀՈՂ,суглинок
ԿԱՎԱՎԱԶԱՀՈՂԱՅԻՆ,суглинистый
ԿԱՎԱՏ,сводник
ԿԱՎԱՏԵՍԱԿ,вид глины
ԿԱՎԱՏՆԱԿ,мазанка
ԿԱՎԱՏՈՒԹՅՈՒՆ,сводничество
ԿԱՎԱՐ,"гонт, тёс, дранка"
ԿԱՎԱՐԱՊԱՏ,"гонтовой, покрытый гонтом, тёсом"
ԿԱՎԱՐԵԼ,"покрывать гонтом, тёсом"
ԿԱՎԵ,глиняный
ԿԱՎԵՂԵՆ,гончарные изделия
ԿԱՎԻՃ,мел
ԿԱՎՃԱԲԵՐ,"меловой, содержащий мел"
ԿԱՎՃԱՅԻՆ,меловой
ԿԱՎՃԵ,"меловой;меловой, белый как мел"
